Bac_tip	Host_tip
G0010	G0010
G0023	G0023
G0032	G0032
G0038	G0038
G0046	G0046
G0046	G0032
G0055	G0055
G0115	G0115
G0120	G0120
G0162	G0162
G0200	G0200
G0220	G0220
G0224	G0224
G0224	G0200
G0228	G0228
G0234	G0234
G0262	G0262
G0300	G0300
G0305	G0305
G0400	G0400
G0400	G0407
G0403	G0403
G0407	G0407
T026	T026
T046	T046
T061	T061
T089	T089
T198	T198
T233	T233
V033	V033
V033	V055
V043	V043
V045	V045
V055	V055
V057	V057
V073	V073
V073	V045
V107	V107
V113	V113
V115	V115
V137	V137
V143	V143
V187	V187
V193	V193
V209	V209
V229	V229
V259	V259
V269	V269
V279	V279
V281	V281
V287	V287
V325	V325
V345	V345
V356	V356
V365	V365
V416	V416
V434	V434
