genomeID	species	country	samplingLocation	AgeGroup	FamilyID
G0032_i2	M_intestini	Gabon	Lambarene	Adult	F1
G0046_i2	M_intestini	Gabon	Lambarene	Adult	F2
G0065_i2	M_intestini	Gabon	Lambarene	Adult	F3
G0075_i4	M_intestini	Gabon	Lambarene	Adult	F4
G0078_i1	M_intestini	Gabon	Lambarene	Adult	F5
G0174_i2	M_intestini	Gabon	Lambarene	Adult	F6
G0218_i4b	M_intestini	Gabon	Lambarene	Adult	F7
G0315_i1	M_intestini	Gabon	Ikobey	Adult	F8
G0317_i1	M_intestini	Gabon	Ikobey	Adult	F9
G0321_i2	M_intestini	Gabon	Ikobey	Adult	F10
G0322_i1	M_intestini	Gabon	Ikobey	Child	F10
G0333_i1	M_intestini	Gabon	Ikobey	Adult	F11
G0348_i1	M_intestini	Gabon	Ikobey	Adult	F12
G0349_i1	M_intestini	Gabon	Ikobey	Child	F12
G0350_i2	M_intestini	Gabon	Ikobey	Child	F12
G0354_i4	M_intestini	Gabon	Ikobey	Adult	F13
G0355_i2	M_intestini	Gabon	Ikobey	Child	F13
G0361_i1	M_intestini	Gabon	Ikobey	Adult	F14
G0362_i3	M_intestini	Gabon	Ikobey	Child	F14
G0363_i4	M_intestini	Gabon	Ikobey	Adult	F15
G0364_i3	M_intestini	Gabon	Ikobey	Child	F15
G0365_i1	M_intestini	Gabon	Ikobey	Child	F15
G0370_i3	M_intestini	Gabon	Ikobey	Adult	F16
G0371_i3	M_intestini	Gabon	Ikobey	Child	F16
G0380_i2	M_intestini	Gabon	Ikobey	Adult	F17
G0385_i1	M_intestini	Gabon	Ikobey	Child	F18
G0390_i2	M_intestini	Gabon	Ikobey	Child	F19
G0391_i2	M_intestini	Gabon	Ikobey	Adult	F20
G0393_i1	M_intestini	Gabon	Ikobey	Adult	F21
G0395_i1	M_intestini	Gabon	Ikobey	Child	F21
G0411_i1	M_intestini	Gabon	Ikobey	Adult	F22
G0412_i1	M_intestini	Gabon	Ikobey	Child	F22
G0416_i3	M_intestini	Gabon	Ikobey	Adult	F23
LL_i39	M_intestini	Germany	ITM	Adult	F24
T150_i1	M_intestini	Germany	ITM	Adult	F25
T262_i2	M_intestini	Germany	ITM	Adult	F26
