COG20_CATEGORY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_intestini	p_M_smithii	N_M_intestini	N_M_smithii
Cell wall/membrane/envelope biogenesis!!!Cell motility	41.17201850407069	1.3940398523755487e-10	1.8680134021832353e-8	M_intestini	M!!!N	GC_00001838	0.6923	0.0492	26	61
Amino acid transport and metabolism!!!Coenzyme transport and metabolism!!!Coenzyme transport and metabolism	4.072604706559143	0.04358401847436697	0.9149222815535056	M_intestini	E!!!H!!!H	GC_00002525	0.1154	0.0164	26	61
Defense mechanisms!!!General function prediction only	3.246327697396416	0.07158367150731286	0.9149222815535056	M_smithii	V!!!R	GC_00002535, GC_00002648	0	0.1148	26	61
Cell motility!!!Extracellular structures!!!Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones	3.2463276973964144	0.07158367150731312	0.9149222815535056	M_intestini	N!!!W!!!C!!!O	GC_00001399	1	0.8852	26	61
Carbohydrate transport and metabolism!!!Cell wall/membrane/envelope biogenesis!!!Signal transduction mechanisms	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	G!!!M!!!T	GC_00003739	0.0385	0	26	61
Cell motility!!!Extracellular structures	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	N!!!W	GC_00003367	0.0385	0	26	61
Cell wall/membrane/envelope biogenesis!!!Defense mechanisms	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	M!!!V	GC_00003495	0.0385	0	26	61
Cell wall/membrane/envelope biogenesis!!!Intracellular trafficking, secretion, and vesicular transport	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	M!!!U	GC_00003892, GC_00003957, GC_00003993	0.0385	0	26	61
Coenzyme transport and metabolism!!!Lipid transport and metabolism	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	H!!!I	GC_00003766	0.0385	0	26	61
Energy production and conversion!!!General function prediction only	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	C!!!R	GC_00003561	0.0385	0	26	61
Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Lipid transport and metabolism!!!Coenzyme transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	I!!!Q!!!I!!!H!!!Q!!!Q	GC_00003821, GC_00003828	0.0385	0	26	61
Nucleotide transport and metabolism!!!Amino acid transport and metabolism!!!General function prediction only!!!Energy production and conversion	2.3759354541781432	0.1232177681857383	0.9149222815535056	M_intestini	F!!!E!!!R!!!C	GC_00003450	0.0385	0	26	61
