genomeID	classification	species	country	sampleID	AgeGroup	Name	passed_drep
G0010_i1	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	M. smithii	Gabon	G0010i1	Adult	G0010_i1	yes
G0023_i2	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	M. smithii	Gabon	G0023i2	Adult	G0023_i2	yes
G0032_i1b	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	M. smithii	Gabon	G0032i1b	Adult	G0032_i1b	no
G0032_i2	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii_A"	M. intestini	Gabon	G0032i2	Adult	G0032_i2	yes
G0032_i4	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii_A"	M. intestini	Gabon	G0032i4	Adult	G0032_i4	no
G0038_i1	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	M. smithii	Gabon	G0038i1	Adult	G0038_i1	no
G0038_i2	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	M. smithii	Gabon	G0038i2	Adult	G0038_i2	yes
G0046_i1	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	M. smithii	Gabon	G0046i1	Adult	G0046_i1	yes
G0046_i2	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii_A"	M. intestini	Gabon	G0046i2	Adult	G0046_i2	yes
G0046_i3	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	M. smithii	Gabon	G0046i3	Adult	G0046_i3	no
G0046_i4	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	M. smithii	Gabon	G0046i4	Adult	G0046_i4	no
G0055_i1	"d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii"	M. smithii	Gabon	G0055i1	Adult	G0055_i1	yes
