isolate	genome.size	genome.size_mbp	total_genes	core	soft-core	shell	cloud	country	species	species.1
G0010_i1	1838871	1.839	1709	922	44	642	101	Gabon	M. smithii	M.smithii
G0023_i2	1864587	1.865	1768	922	43	665	138	Gabon	M. smithii	M.smithii
G0032_i2	1981241	1.981	1804	923	43	716	122	Gabon	M. intestini	M.intestini
G0038_i2	1837533	1.838	1751	923	44	639	145	Gabon	M. smithii	M.smithii
G0046_i1	1875779	1.876	1776	923	41	703	109	Gabon	M. smithii	M.smithii
G0046_i2	1961025	1.961	1786	923	42	711	110	Gabon	M. intestini	M.intestini
G0055_i1	1861275	1.861	1748	922	43	662	121	Gabon	M. smithii	M.smithii
G0055_i2	1841382	1.841	1738	923	43	670	102	Gabon	M. smithii	M.smithii
G0075_i4	1974879	1.975	1797	923	44	721	109	Gabon	M. intestini	M.intestini
G0078_i1	1982416	1.982	1781	923	44	704	110	Gabon	M. intestini	M.intestini
G0115_i2	1845391	1.845	1737	923	44	639	131	Gabon	M. smithii	M.smithii
G0120_i1	1758628	1.759	1652	923	44	611	74	Gabon	M. smithii	M.smithii
G0120_i2	1807563	1.808	1723	921	44	662	96	Gabon	M. smithii	M.smithii
G0162_i2	1780551	1.781	1673	923	43	657	50	Gabon	M. smithii	M.smithii
G0174_i2	2009083	2.009	1865	923	43	715	184	Gabon	M. intestini	M.intestini
G0200_i2a	1804171	1.804	1691	922	44	634	91	Gabon	M. smithii	M.smithii
G0218_i4b	1976925	1.977	1816	923	44	713	136	Gabon	M. intestini	M.intestini
G0220_i2	1846844	1.847	1761	923	44	700	94	Gabon	M. smithii	M.smithii
G0224_i1	1832625	1.833	1752	923	43	641	145	Gabon	M. smithii	M.smithii
G0228_i3	1847988	1.848	1743	906	41	713	83	Gabon	M. smithii	M.smithii
G0234_i3	1878709	1.879	1801	923	42	664	172	Gabon	M. smithii	M.smithii
G0262_i1b	1817709	1.818	1706	922	42	665	77	Gabon	M. smithii	M.smithii
G0300_i4	1850865	1.851	1805	922	44	706	133	Gabon	M. smithii	M.smithii
G0305_i3	1797155	1.797	1692	923	42	656	71	Gabon	M. smithii	M.smithii
G0315_i1	2131580	2.132	1991	923	42	750	276	Gabon	M. intestini	M.intestini
G0317_i1	2021761	2.022	1849	923	43	741	142	Gabon	M. intestini	M.intestini
G0321_i2	1996703	1.997	1873	923	43	714	193	Gabon	M. intestini	M.intestini
G0333_i1	2053363	2.053	1896	923	43	768	162	Gabon	M. intestini	M.intestini
G0349_i1	1975284	1.975	1856	923	43	701	189	Gabon	M. intestini	M.intestini
G0354_i4	2010426	2.01	1878	922	42	717	197	Gabon	M. intestini	M.intestini
G0361_i1	2003712	2.004	1854	923	43	764	124	Gabon	M. intestini	M.intestini
G0363_i4	2084982	2.085	1934	923	44	766	201	Gabon	M. intestini	M.intestini
G0366_i3	1776805	1.777	1697	915	37	635	110	Gabon	M. smithii	M.smithii
G0370_i3	2033259	2.033	1872	923	44	711	194	Gabon	M. intestini	M.intestini
G0380_i2	1950484	1.95	1791	923	41	723	104	Gabon	M. intestini	M.intestini
G0384_i2	1862374	1.862	1787	923	42	709	113	Gabon	M. smithii	M.smithii
G0385_i1	1985759	1.986	1792	923	43	713	113	Gabon	M. intestini	M.intestini
G0391_i2	2058417	2.058	1850	923	43	719	165	Gabon	M. intestini	M.intestini
G0393_i1	2077607	2.078	1955	913	38	725	279	Gabon	M. intestini	M.intestini
G0400_i4	1857215	1.857	1749	923	43	693	90	Gabon	M. smithii	M.smithii
G0403_i3	1801689	1.802	1692	923	44	644	81	Gabon	M. smithii	M.smithii
G0411_i1	2068352	2.068	1932	923	42	761	206	Gabon	M. intestini	M.intestini
G0412_i1	2090260	2.09	1932	923	44	761	204	Gabon	M. intestini	M.intestini
G0415_i1b	1850405	1.85	1780	923	44	707	106	Gabon	M. smithii	M.smithii
G0416_i3	1989183	1.989	1803	923	42	721	117	Gabon	M. intestini	M.intestini
LL_i39	1901677	1.902	1792	923	43	686	140	Germany	M. intestini	M.intestini
T002_i2	1765271	1.765	1675	923	43	616	93	Germany	M. smithii	M.smithii
T026_i4	1754195	1.754	1695	923	44	646	82	Germany	M. smithii	M.smithii
T046_i1	1745382	1.745	1693	923	42	614	114	Germany	M. smithii	M.smithii
T061_i1	1754770	1.755	1686	923	43	646	74	Germany	M. smithii	M.smithii
T089_i1	1772697	1.773	1691	921	42	622	106	Germany	M. smithii	M.smithii
T112_i1a	1760551	1.761	1681	923	44	648	66	Germany	M. smithii	M.smithii
T150_i1	1947295	1.947	1803	923	44	708	128	Germany	M. intestini	M.intestini
T198_i1	1738952	1.739	1668	921	42	639	66	Germany	M. smithii	M.smithii
T253_i1	1828443	1.828	1731	922	43	647	119	Germany	M. smithii	M.smithii
T262_i2	1888129	1.888	1774	923	42	689	120	Germany	M. intestini	M.intestini
T270_i1	1813712	1.814	1735	923	44	643	125	Germany	M. smithii	M.smithii
