sample1	sample2	average_score	location.1	country.1	sampleType.1	location.2	country.2	sampleType.2	comparisons	compared_locations	host_comparisons
G0032_i2	G0046_i2	0.814119210513629	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0065_i2	0.818922193257318	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0075_i1	0.825277948245035	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0075_i2	0.825819771070664	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0075_i3	0.826477655751431	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0075_i4	0.831835846110141	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0078_i1	0.859847075004528	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0174_i1	0.841748749109084	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0174_i2	0.840311464869133	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0174_i3	0.830699997053243	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0174_i4	0.813134152320934	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0218_i4b	0.851507776898169	Lambarene	Gabon	Adult	Lambarene	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0315_i1	0.881779429281753	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0315_i2	0.864496537054377	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0317_i1	0.83695000434779	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0321_i2	0.891061340315248	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0322_i1	0.863313927404787	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0333_i1	0.794168439045468	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0348_i1	0.829766849546898	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0348_i2	0.8369255598766	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0349_i1	0.854707850928032	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0350_i2	0.847694063040826	Lambarene	Gabon	Adult	Ikobey	Gabon	Child	between host	G vs. G	Unrelated
G0032_i2	G0354_i1	0.859506457164145	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0354_i2	0.858908504074926	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
G0032_i2	G0354_i4	0.856796813030099	Lambarene	Gabon	Adult	Ikobey	Gabon	Adult	between host	G vs. G	Unrelated
