KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_intestini	p_M_smithii	N_M_intestini	N_M_smithii
modulator of FtsH protease HflK	77.7659523	1.16E-18	2.10E-16	M. intestini	K04088	GC_00001793	0.9231	0	26	61
quaternary ammonium compound-resistance protein SugE	77.71212348	1.19E-18	2.10E-16	M. intestini	K11741	GC_00001763	0.9615	0.0164	26	61
membrane-associated protein	77.71212348	1.19E-18	2.10E-16	M. intestini	K03975	"GC_00001753, GC_00003473"	0.9615	0.0164	26	61
molybdate transport system substrate-binding protein	77.71212348	1.19E-18	2.10E-16	M. smithii	K02020	GC_00001583	0.0385	0.9836	26	61
molybdate transport system permease protein	77.71212348	1.19E-18	2.10E-16	M. smithii	K02018	GC_00001577	0.0385	0.9836	26	61
molybdate transport system ATP-binding protein [EC:7.3.2.5]	77.71212348	1.19E-18	2.10E-16	M. smithii	K02017	GC_00001579	0.0385	0.9836	26	61
antitoxin PrlF	45.86525477	1.27E-11	1.91E-09	M. intestini	K19156	GC_00001674	0.9615	0.1803	26	61
maltose O-acetyltransferase [EC:2.3.1.79]	41.4753519	1.19E-10	1.58E-08	M. intestini	K00661	"GC_00001848, GC_00002758, GC_00004007"	0.7308	0.0656	26	61
glycosyltransferase EpsH [EC:2.4.-.-]	41.1720185	1.39E-10	1.64E-08	M. intestini	K19425	GC_00001838	0.6923	0.0492	26	61
mannosyltransferase [EC:2.4.1.-]	37.94310844	7.28E-10	7.69E-08	M. intestini	K14340	"GC_00001718, GC_00002024, GC_00002033"	1	0.2787	26	61
putative transposase	26.17823575	3.11E-07	2.99E-05	M. intestini	K07495	"GC_00001563, GC_00001567, GC_00001645, GC_00001649, GC_00001709, GC_00001836, GC_00002498, GC_00002770, GC_00003104, GC_00003179, GC_00003294, GC_00003338, GC_00003364, GC_00003378, GC_00003526, GC_00003563, GC_00003659, GC_00004002, GC_00004058"	1	0.4098	26	61
recombination protein RecT	15.12182426	1.01E-04	0.008869637	M. intestini	K07455	GC_00002345	0.2308	0	26	61
pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	14.57188335	1.35E-04	0.010959056	M. intestini	K00275	GC_00001652	0.8077	0.3607	26	61
CRISPR-associated protein Cas5t	9.327709923	0.002257143	0.148971415	M. intestini	K19090	GC_00001798	0.5	0.1803	26	61
CRISPR-associated protein Cst1	9.327709923	0.002257143	0.148971415	M. intestini	K19088	GC_00001794	0.5	0.1803	26	61
CRISPR-associated protein Cst2	9.327709923	0.002257143	0.148971415	M. intestini	K19075	GC_00001795	0.5	0.1803	26	61
iron complex transport system permease protein	7.725347665	0.005445087	0.338236016	M. intestini	K02015	GC_00001554	1	0.7541	26	61
