Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
G0010_i1	99.91	0.26	Neural Network (Specific Model)	11	0.901	1186868	322.278099652375	1849752	0.31	1726	None
G0032_i1b	99.95	0.12	Neural Network (Specific Model)	11	0.904	297589	315.885474860335	1872878	0.31	1790	None
G0032_i4	95.96	3.91	Neural Network (Specific Model)	11	0.897	66413	297.371150729336	2450576	0.35	2468	None
G0038_i2	99.93	0.57	Neural Network (Specific Model)	11	0.902	235342	312.733182589033	1837533	0.31	1769	None
G0046_i2	99.85	0.21	Neural Network (Specific Model)	11	0.9	113975	323.973062122045	1961025	0.3	1819	None
G0046_i4	99.95	0.12	Neural Network (Specific Model)	11	0.904	297589	315.912800447177	1872701	0.31	1789	None
G0055_i2	99.93	0.16	Neural Network (Specific Model)	11	0.903	340897	315.637087599545	1841382	0.31	1758	None
G0075_i1	99.74	0.14	Neural Network (Specific Model)	11	0.898	78379	326.589078874793	1975692	0.3	1813	None
G0075_i3	99.91	0.14	Neural Network (Specific Model)	11	0.902	32348	325.597701149425	1976606	0.3	1827	None
G0078_i1	99.9	0.42	Neural Network (Specific Model)	11	0.902	58905	328.946556473829	1982416	0.3	1815	None
G0120_i1	99.9	0.1	Neural Network (Specific Model)	11	0.906	1764697	320.504807692308	1764697	0.31	1664	None
G0162_i1	99.85	0.3	Neural Network (Specific Model)	11	0.904	57772	315.405236198065	1836467	0.31	1757	None
G0162_i3	99.83	0.3	Neural Network (Specific Model)	11	0.904	44054	316.667429879794	1834378	0.31	1747	None
G0174_i1	99.96	0.35	Neural Network (Specific Model)	11	0.907	29526	321.984084880637	2004620	0.3	1885	None
G0174_i3	99.96	0.3	Neural Network (Specific Model)	11	0.906	48524	322.6175066313	2012126	0.3	1885	None
G0200_i1	99.89	0.12	Neural Network (Specific Model)	11	0.903	245925	311.940248027058	1835842	0.31	1774	None
G0218_i4b	99.87	0.28	Neural Network (Specific Model)	11	0.903	136848	323.547231270358	1976925	0.3	1842	None
G0220_i1b	99.91	0.19	Neural Network (Specific Model)	11	0.903	175045	313.048848961258	1849272	0.31	1781	None
G0220_i2a	99.91	0.19	Neural Network (Specific Model)	11	0.903	194404	313.47892074199	1849847	0.31	1779	None
G0220_i3	99.91	0.19	Neural Network (Specific Model)	11	0.903	175045	313.256323777403	1848431	0.31	1779	None
G0224_i1	99.91	0.11	Neural Network (Specific Model)	11	0.904	467493	313.442743764172	1832625	0.31	1764	None
G0234_i1	99.87	0.39	Neural Network (Specific Model)	11	0.912	18463	309.905434782609	1872827	0.31	1840	None
G0234_i3	99.87	0.39	Neural Network (Specific Model)	11	0.91	30922	312.097921225383	1878709	0.31	1828	None
G0262_i1b	99.89	0.09	Neural Network (Specific Model)	11	0.904	137232	316.784517619873	1817709	0.31	1731	None
G0262_i3a	99.89	0.09	Neural Network (Specific Model)	11	0.904	109476	315.931332948644	1815392	0.31	1733	None
G0300_i1	99.93	0.13	Neural Network (Specific Model)	11	0.903	56425	311.977937120794	1876080	0.31	1813	None
G0300_i3	99.92	0.13	Neural Network (Specific Model)	11	0.902	41692	308.670724958495	1851926	0.31	1807	None
G0305_i1	99.9	0.16	Neural Network (Specific Model)	11	0.903	55934	316.405468295521	1805355	0.31	1719	None
G0305_i3	99.9	0.16	Neural Network (Specific Model)	11	0.901	1809084	318.724663151728	1809084	0.31	1707	None
G0315_i1	99.95	0.45	Neural Network (Specific Model)	11	0.902	115051	318.923459244533	2131580	0.3	2012	None
G0317_i1	99.93	0.38	Neural Network (Specific Model)	11	0.905	147855	326.489043292357	2021761	0.3	1871	None
G0322_i1	99.55	0.25	Neural Network (Specific Model)	11	0.902	22418	302.44506612411	1974901	0.3	1966	None
G0348_i1	99.95	0.22	Neural Network (Specific Model)	11	0.901	106060	321.507749866382	1999365	0.3	1871	None
G0349_i1	99.89	0.38	Neural Network (Specific Model)	11	0.897	59632	313.541070482247	1975284	0.3	1887	None
G0354_i1	99.92	0.25	Neural Network (Specific Model)	11	0.905	65209	317.325642370215	2003878	0.3	1907	None
G0354_i4	99.93	0.25	Neural Network (Specific Model)	11	0.902	2046709	324.44345081536	2049050	0.3	1901	None
G0361_i1	99.95	0.22	Neural Network (Specific Model)	11	0.901	509019	326.686638388123	2048369	0.3	1886	None
G0361_i3	99.95	0.22	Neural Network (Specific Model)	11	0.903	59321	320.376734258271	1991187	0.3	1874	None
G0363_i4	99.89	0.66	Neural Network (Specific Model)	11	0.906	135220	323.277293695541	2084982	0.3	1951	None
G0365_i1	98.22	1.77	Neural Network (Specific Model)	11	0.907	18858	300.478542914172	1988505	0.31	2004	None
G0370_i3	99.86	0.16	Neural Network (Specific Model)	11	0.897	1091874	326.909810126582	2070603	0.3	1896	None
G0380_i2	99.85	0.25	Neural Network (Specific Model)	11	0.898	1413625	327.340495867769	1982556	0.3	1815	None
G0385_i1	99.82	0.19	Neural Network (Specific Model)	11	0.902	54662	326.567995630803	1985759	0.3	1831	None
G0391_i2	99.93	0.89	Neural Network (Specific Model)	11	0.905	84036	330.727127659574	2058417	0.3	1880	None
G0395_i1	99.82	0.2	Neural Network (Specific Model)	11	0.903	46639	326.876704855428	1988945	0.3	1833	None
G0400_i2	99.93	0.15	Neural Network (Specific Model)	11	0.907	43503	317.538505096263	1853174	0.31	1766	None
G0400_i4	99.93	0.15	Neural Network (Specific Model)	11	0.903	1864868	319.008479366874	1872800	0.31	1769	None
G0407_i2	99.85	0.15	Neural Network (Specific Model)	11	0.906	163545	317.1930523918	1841772	0.31	1756	None
G0412_i1	99.87	0.66	Neural Network (Specific Model)	11	0.906	77504	321.337741607325	2090260	0.3	1966	None
G0416_i3	99.92	0.53	Neural Network (Specific Model)	11	0.905	118854	328.508474576271	1989183	0.3	1829	None
LL_i14	99.75	0.32	Neural Network (Specific Model)	11	0.902	121782	316.540331491713	1902082	0.3	1810	None
LL_i21	99.02	0.36	Neural Network (Specific Model)	11	0.903	111627	317.434758155231	1873499	0.3	1778	None
LL_i24	99.71	0.33	Neural Network (Specific Model)	11	0.902	121782	316.337569060773	1901379	0.3	1810	None
LL_i31	99.74	0.33	Neural Network (Specific Model)	11	0.903	111626	316.776548672566	1900372	0.3	1808	None
LL_i34	99.75	0.32	Neural Network (Specific Model)	11	0.903	121782	316.39657079646	1898717	0.3	1808	None
LL_i41	99.61	0.33	Neural Network (Specific Model)	11	0.903	121782	317.728230726567	1901791	0.3	1803	None
LL_i44b	99.74	0.33	Neural Network (Specific Model)	11	0.902	121782	317.135658914729	1901948	0.3	1806	None
T002_i2	99.87	0.11	Neural Network (Specific Model)	11	0.903	197902	313.428739693757	1765271	0.31	1698	None
T026_i4	99.76	0.83	Neural Network (Specific Model)	11	0.903	76499	308.238483965015	1754195	0.31	1715	None
T046_i2	99.9	0.24	Neural Network (Specific Model)	11	0.905	44237	307.282634032634	1746248	0.31	1716	None
T046_i4	99.89	0.3	Neural Network (Specific Model)	11	0.905	47141	307.090909090909	1744335	0.31	1716	None
T089_i1	99.85	0.17	Neural Network (Specific Model)	11	0.904	55421	314.308641975309	1772697	0.31	1701	None
T089_i3	99.83	0.18	Neural Network (Specific Model)	11	0.904	44318	314.159811985899	1772721	0.31	1702	None
T112_i1a	99.88	0.09	Neural Network (Specific Model)	11	0.903	254268	311.908877131099	1760551	0.31	1701	None
