"species"	"genome"	"Genome_Length_bp"	"GC_Content"	"GC3_Content"	"GC_Skew"	"Total_Coding_Sequences"	"Coding_density"	"Average_Gene_Length"	"Hypothetical_Proteins"	"corrected_genome_size"	"genomeID"	"Coding_Density"
"M. smithii"	"G0010_i1"	1849752	31.0354577262249	21.3380928097978	0.0480028724503114	1763	90.537866697806	949.929665343165	21.7391304347826	1846238.138	"G0010_i1"	0.90537866697806
"M. smithii"	"G0023_i2"	1864587	31.3482824882937	21.6302436334616	0.011765559745037	1829	87.4400604530655	891.413887370148	23.5986547085202	1863095.629	"G0023_i2"	0.874400604530655
"M. smithii"	"G0038_i2"	1837533	31.0321501709085	21.4264462074111	0.00262156402198277	1810	87.9006798789464	892.377900552486	22.7426636568849	1828162.759	"G0038_i2"	0.879006798789464
"M. smithii"	"G0046_i1"	1879837	31.1181235394345	21.4565482187329	0.0347194796228069	1827	90.9687914430879	935.996168582376	24.4407158836689	1878521.584	"G0046_i1"	0.909687914430879
"M. smithii"	"G0055_i1"	1868479	31.1757317047716	21.482409598614	-0.00159979951275127	1806	90.758365494073	938.981727574751	23.0028328611898	1866050.893	"G0055_i1"	0.90758365494073
"M. smithii"	"G0055_i2"	1841382	31.1192897508502	21.3684763064952	0.0507813511939855	1793	89.969490306737	923.972113775795	22.976054732041	1839541.281	"G0055_i2"	0.89969490306737
"M. smithii"	"G0115_i2"	1845391	30.9813475843331	21.3441890378613	0.0276813227447227	1795	88.4668885889223	909.504178272981	23.2478632478632	1844468.969	"G0115_i2"	0.884668885889223
"M. smithii"	"G0120_i1"	1764697	31.3101342610091	21.573067787617	-0.00616981190127577	1703	91.106405235573	944.070463887258	20.9735576923077	1764521.661	"G0120_i1"	0.91106405235573
"M. smithii"	"G0120_i2"	1807563	31.0110906231207	21.2364627752958	0.00891780783233052	1774	88.446488448812	901.198421645998	22.0046082949309	1805394.811	"G0120_i2"	0.88446488448812
"M. smithii"	"G0162_i2"	1803432	31.2845175199287	21.5981908899805	-0.00693200046083358	1728	90.906504930599	948.748263888889	20.3912270302312	1803436.064	"G0162_i2"	0.90906504930599
"M. smithii"	"G0200_i2a"	1804171	31.1237682015729	21.3095344925042	-0.00968322681393839	1740	89.6486530378772	929.548850574713	21.4579659024103	1802910.266	"G0200_i2a"	0.896486530378772
"M. smithii"	"G0220_i2"	1864941	31.1894585405115	21.478287700786	-0.0264499168416421	1810	90.5662431143934	933.153038674033	23.5327313769752	1862517.248	"G0220_i2"	0.905662431143934
"M. smithii"	"G0224_i1"	1832625	31.0768978923675	21.2099636219193	0.0677253991858232	1801	88.9934929404543	905.561910049972	24.1633579126489	1831892.849	"G0224_i1"	0.889934929404543
"M. smithii"	"G0228_i3"	1850829	31.2604784126464	21.5382143095245	-0.041161526359706	1806	91.0475251900635	933.075304540421	24.1496598639456	1891077.549	"G0228_i3"	0.910475251900635
"M. smithii"	"G0234_i3"	1878709	31.3064450109091	21.5364301555641	-0.0133856684310282	1851	89.860750121493	912.059427336575	25.7442116868798	1873450.891	"G0234_i3"	0.89860750121493
"M. smithii"	"G0262_i1b"	1817709	31.181943864502	21.4014818405719	-0.0521644675916399	1757	89.0363639064339	921.128059191804	21.5823152995928	1817710.164	"G0262_i1b"	0.890363639064339
"M. smithii"	"G0300_i4"	1884214	31.1864257456956	21.5259708493231	0.0215874864051471	1861	89.2208634475702	903.337990327781	25.192096597146	1883084.15	"G0300_i4"	0.892208634475702
"M. smithii"	"G0305_i3"	1809084	31.2916370936894	21.5807654157899	-0.00674095376723218	1748	90.8998144917538	940.763157894737	21.9097832454599	1807456.983	"G0305_i3"	0.908998144917538
"M. smithii"	"G0366_i3"	1776805	31.2792343560492	21.4904725146027	0.0191096683114915	1744	85.8161700355413	874.303899082569	22.9824561403509	1776457.491	"G0366_i3"	0.858161700355413
"M. smithii"	"G0384_i2"	1862374	31.2785724027505	21.4489273536444	0.0236836153395159	1839	90.1309296628926	912.765089722675	25.1111111111111	1860325.687	"G0384_i2"	0.901309296628926
"M. smithii"	"G0400_i4"	1872800	31.2277872703973	21.5279093795586	-0.110772090416925	1805	90.5686138402392	939.705817174515	23.7528344671202	1870927.668	"G0400_i4"	0.905686138402392
"M. smithii"	"G0403_i3"	1801689	31.2475682540105	21.5797145816328	0.0503406994773927	1747	88.061480088961	908.182026330853	21.9555035128806	1797185.426	"G0403_i3"	0.88061480088961
"M. smithii"	"G0415_i1b"	1850405	31.2466730256349	21.4472890836127	0.00735583996928538	1830	88.8535752983806	898.443169398907	25.2790178571429	1848740.098	"G0415_i1b"	0.888535752983806
"M. smithii"	"T002_i2"	1765271	31.037500757674	21.2220056062474	-0.00391069700925981	1728	90.4243031239963	923.746527777778	22.0710059171598	1765627.041	"T002_i2"	0.904243031239963
"M. smithii"	"T026_i4"	1754195	31.1756104651991	21.396798814785	-0.0229560139869759	1748	90.5891876330739	909.102402745995	21.1111111111111	1742797.811	"T026_i4"	0.905891876330739
"M. smithii"	"T046_i1"	1745382	31.1928277019014	21.4751110524378	-0.00721685308991365	1748	88.4071223376888	882.747139588101	22.4561403508772	1742765.342	"T046_i1"	0.884071223376888
"M. smithii"	"T061_i1"	1792017	31.1213565496309	21.373146729639	0.0160536587198941	1743	90.8360244350361	933.905335628227	20.5278592375367	1790405.063	"T061_i1"	0.908360244350361
"M. smithii"	"T089_i1"	1772697	31.1682707197	21.3458064070229	0.0101339809775754	1741	88.6431240082202	902.569787478461	21.9612448620082	1771635.156	"T089_i1"	0.886431240082202
"M. smithii"	"T112_i1a"	1760551	31.2025610164091	21.3974132165913	-0.0122172398510759	1739	90.2379993536115	913.562967222542	21.0464432686655	1761258.2	"T112_i1a"	0.902379993536115
"M. smithii"	"T198_i1"	1745783	31.2586959547664	21.4252273470025	0.0127632126279757	1727	90.9096949620887	918.984365952519	21.4709371293001	1742990.184	"T198_i1"	0.909096949620886
"M. smithii"	"T253_i1"	1842941	31.0419595635454	21.3446006417014	0.0137444610503684	1796	90.4856422424809	928.506124721604	22.7350427350427	1839992.958	"T253_i1"	0.904856422424809
"M. smithii"	"T270_i1"	1853975	31.0170309739883	21.2638185195754	-0.0198905134875697	1794	90.864493857792	939.021739130435	23.217341699943	1847671.949	"T270_i1"	0.90864493857792
"M. smithii"	"V003_i2"	1779657	31.0687958409963	21.30408326373	0.0175643619022779	1774	88.7269288407822	890.098647125141	22.2350230414747	1779482.527	"V003_i2"	0.887269288407822
"M. smithii"	"V013_i1"	1662498	31.4237370511122	21.5653197365402	0.0131412968352603	1691	89.1303929388186	876.280898876405	20.9443099273608	1676814.468	"V013_i1"	0.891303929388186
"M. smithii"	"V033_i4"	1789317	31.1717264185161	21.2903470597012	0.0118787567512786	1799	90.1995565905874	897.140633685381	24.2338251986379	1791837.136	"V033_i4"	0.901995565905874
"M. smithii"	"V043_i2"	1814366	31.2160280781276	21.7282520647075	0.0158998249397777	1804	89.5279122293958	900.423503325942	23.4428086070215	1812735.268	"V043_i2"	0.895279122293958
"M. smithii"	"V057_i1"	1844647	31.1454711931334	21.407462983538	0.0385960807686803	1843	89.5565384596619	896.365708084645	25.0415512465374	1841880.491	"V057_i1"	0.895565384596619
"M. smithii"	"V073_i4"	1774305	31.143461806172	21.4449578054092	-0.00935249194686742	1727	90.5575422489369	930.380428488709	21.1743772241993	1773953.141	"V073_i4"	0.905575422489369
"M. smithii"	"V107_i2"	1811425	31.221717708434	21.4059726766241	0.0349533200584717	1809	89.2596712532951	893.79325594251	24.9293386093838	1807621.461	"V107_i2"	0.892596712532951
"M. smithii"	"V113_i1"	1832730	31.120950712871	21.4011277430182	0.0107232030685399	1825	89.4160623768913	897.947945205479	24.8461108002238	1830897.563	"V113_i1"	0.894160623768913
"M. smithii"	"V115_i2"	1825233	31.1097268129603	21.4651314258042	0.0459339064875661	1808	90.0658162546919	909.242809734513	24.1086587436333	1824138.317	"V115_i2"	0.900658162546919
"M. smithii"	"V137_i1"	1781898	31.1944903692579	21.4112047546032	0.0090959136751737	1759	90.4253217636475	916.024445707789	21.4202561117579	1780474.265	"V137_i1"	0.904253217636475
"M. smithii"	"V143_i2"	1776930	31.149116735043	21.3613084407162	-0.0116020398454002	1764	88.9539261535345	896.059523809524	22.2479721900348	1773022.533	"V143_i2"	0.889539261535345
"M. smithii"	"V157_i2"	1796647	31.1171309667397	21.2805000788833	0.0524732044145524	1817	89.3259499501015	883.253714914695	24.4231851435003	1795389.994	"V157_i2"	0.893259499501015
"M. smithii"	"V187_i2"	1802374	31.0716865644977	21.402564176231	0.0104732202206036	1769	89.0308559710693	907.105144149237	21.6184971098266	1800034.451	"V187_i2"	0.890308559710693
"M. smithii"	"V193_i1"	1770064	31.2754228095707	21.4816285409379	0.0150184933786515	1750	90.0383827929386	910.706857142857	22.4956063268893	1769357.108	"V193_i1"	0.900383827929386
"M. smithii"	"V209_i2"	1841683	31.0009377292401	21.3571421551341	0.0235963919391952	1797	89.3783023462778	916.007234279355	23.2081911262799	1840578.654	"V209_i2"	0.893783023462778
"M. smithii"	"V221_i4"	1757825	31.1612361867649	21.3998546302636	-0.00181044368106244	1752	90.3906816662637	906.912100456621	23.1621936989498	1758707.363	"V221_i4"	0.903906816662637
"M. smithii"	"V229_i1"	1819533	31.133702988624	21.5176818423604	0.0341748131010817	1784	88.990361812619	907.6283632287	21.9162363740677	1817714.122	"V229_i1"	0.88990361812619
"M. smithii"	"V259_i1"	1792457	31.0848182132124	21.344252690424	0.00113542452859904	1760	88.6355432794204	902.701136363636	22.1963974433469	1788693.289	"V259_i1"	0.886355432794204
"M. smithii"	"V269_i2"	1782810	31.0761101856059	21.3765978811851	0.0215850634562764	1756	88.9555252662931	903.136674259681	21.5948777648428	1780136.427	"V269_i2"	0.889555252662931
"M. smithii"	"V279_i1"	1765743	31.1887970106635	21.3407021195927	-0.0442640026824538	1743	89.643056775533	908.127366609294	21.58357771261	1761858.807	"V279_i1"	0.89643056775533
"M. smithii"	"V281_i2"	1808398	31.0970262077264	21.411794411793	0.0114873443607097	1761	89.7867062449748	922.033503691085	21.5116279069767	1803153.935	"V281_i2"	0.897867062449748
"M. smithii"	"V287_i2"	1863737	31.0459040089884	21.390466729613	-0.0532641610942816	1816	89.9482062114987	923.126651982379	23.2807215332582	1860009.992	"V287_i2"	0.899482062114987
"M. smithii"	"V325_i1"	1735599	31.192285775689	21.31599150802	-0.0696605231998967	1709	90.6071621382589	920.173785839672	21.1250748055057	1734561.552	"V325_i1"	0.906071621382589
"M. smithii"	"V345_i1"	1743952	31.1349165573364	21.205148823955	0.0116397845213927	1755	88.8042790168537	882.452421652422	22.3645894001165	1743080.879	"V345_i1"	0.888042790168537
"M. smithii"	"V356_i4"	1779631	31.1463443826276	21.401127742619	-0.0198450871164989	1776	88.8637026439751	890.453828828829	22.3245109321059	1783391.372	"V356_i4"	0.888637026439751
"M. smithii"	"V365_i3"	1788477	31.200904456697	21.4122616044769	0.0425581495856648	1766	89.873059592044	910.169309173273	22.6851851851852	1788120.45	"V365_i3"	0.89873059592044
"M. smithii"	"V416_i1"	1820102	31.1519354409808	21.3883956865498	0.0170005560264296	1819	90.3849894126813	904.397471137988	23.5393258426966	1822113.763	"V416_i1"	0.903849894126813
"M. smithii"	"V432_i3"	1759843	31.2072156436682	21.4516173178536	-0.00695923874449652	1729	90.4453408627929	920.587622903412	21.563981042654	1757206.214	"V432_i3"	0.904453408627929
"M. smithii"	"V434_i2"	1802065	31.2588058699325	21.5924444965397	-0.0142456555519283	1768	89.0828577215583	907.992647058824	23.1036479444123	1798642.231	"V434_i2"	0.890828577215583
"M. intestini"	"G0032_i2"	2030367	30.1831639304618	19.767160941822	0.0306833056099403	1882	90.0306693321946	971.282146652497	21.835958718088	2030983.454	"G0032_i2"	0.900306693321946
"M. intestini"	"G0046_i2"	1961025	30.2921686362999	19.5867410214244	-0.0160970913119094	1845	87.5226475950077	930.266124661247	22.5788599889319	1960048.906	"G0046_i2"	0.875226475950077
"M. intestini"	"G0065_i2"	2389187	33.1902442127803	23.6060833535325	0.00106527506186634	2216	83.3945605764639	899.120938628159	27.6243093922652	2364100.537	"G0065_i2"	0.833945605764639
"M. intestini"	"G0075_i4"	1974879	30.2769941854666	19.5159395351505	-0.0149594472479	1847	86.6792851612681	926.806172171088	23.1916068470458	1973892.825	"G0075_i4"	0.866792851612681
"M. intestini"	"G0078_i1"	1982416	30.2874371473999	19.6573353555176	-0.000408124938492987	1837	88.6394682044536	956.561241154056	22.4569205113952	1977064.191	"G0078_i1"	0.886394682044536
"M. intestini"	"G0174_i2"	2062419	30.2114167877623	19.6564580735368	0.0375385669903314	1930	90.6088917916291	968.256476683938	23.928004235045	2057263.138	"G0174_i2"	0.906088917916291
"M. intestini"	"G0218_i4b"	1976925	30.2627565537388	19.6760652041994	0.03020415116357	1868	88.4194392807011	935.752676659529	23.728813559322	1973368.514	"G0218_i4b"	0.884194392807011
"M. intestini"	"G0315_i1"	2131580	30.2727085073044	19.8069260708398	0.0227041040769137	2042	87.4466358288218	912.828109696376	27.972027972028	2123054.021	"G0315_i1"	0.874466358288218
"M. intestini"	"G0317_i1"	2021761	30.260698470294	19.6086692890489	-0.0521071727102595	1904	87.8695355187878	933.042016806723	25.1474530831099	2015292.093	"G0317_i1"	0.878695355187878
"M. intestini"	"G0321_i2"	2017523	30.3760105832746	19.9674218545981	-0.0207648138579661	1934	90.9624822120987	948.90847983454	24.9472573839662	2007234.137	"G0321_i2"	0.909624822120987
"M. intestini"	"G0333_i1"	2087609	30.2217033936911	19.7721584224241	0.0766740824626196	1960	89.8666848054401	957.176020408163	24.4270833333333	2073205.835	"G0333_i1"	0.898666848054401
"M. intestini"	"G0349_i1"	1975284	30.3489523531806	20.0252751993984	0.00227509197860951	1917	85.5874395783087	881.896191966615	25.3874933190807	1970939.64	"G0349_i1"	0.855874395783087
