COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_smithii	p_M_intestini	N_M_smithii	N_M_intestini
Membrane protein implicated in regulation of membrane protease activity (YbbJ) (PDB:2EXD)	77.7659523	1.16E-18	2.36E-16	M. intestini	COG1585	GC_00001799	0	0.9231	61	26
"Regulator of protease activity HflC, stomatin/prohibitin superfamily (HflC)"	77.7659523	1.16E-18	2.36E-16	M. intestini	COG0330	GC_00001793	0	0.9231	61	26
"ABC-type molybdate transport system, periplasmic Mo-binding protein ModA (ModA) (PDB:1AMF)"	77.71212348	1.19E-18	2.36E-16	M. smithii	COG0725	GC_00001583	0.9836	0.0385	61	26
"ABC-type sulfate/molybdate transport systems, ATPase component (CysA)"	77.71212348	1.19E-18	2.36E-16	M. smithii	COG1118	GC_00001579	0.9836	0.0385	61	26
"ABC-type molybdate transport system, permease component ModB (ModB)"	77.71212348	1.19E-18	2.36E-16	M. smithii	COG4149	GC_00001577	0.9836	0.0385	61	26
Multidrug transporter EmrE and related cation transporters (EmrE) (PDB:2I68)	77.71212348	1.19E-18	2.36E-16	M. intestini	COG2076	"GC_00001763, GC_00003643"	0.0164	0.9615	61	26
"Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family (DedA) (PUBMED:24312110;25917916)"	77.71212348	1.19E-18	2.36E-16	M. intestini	COG0586	"GC_00001753, GC_00003473"	0.0164	0.9615	61	26
"Uncharacterized protein RhuM, Salmonella virulence factor (RhuM)"	54.87857739	1.28E-13	2.22E-11	M. intestini	COG3943	"GC_00001691, GC_00002671, GC_00003193"	0.0984	0.9231	61	26
"CRISPR-associated protein Csa3, CARF domain (Csa3) (PDB:2WTE) (PUBMED:21093452)"	48.23184968	3.79E-12	5.82E-10	M. intestini	COG3415	"GC_00001567, GC_00001709, GC_00003656"	0.1639	0.9615	61	26
"VapC family ribonuclease, toxin component of the VapBC toxin-antitoxin module, contains PIN domain (VapC) (PUBMED:30169502)"	41.50698198	1.17E-10	1.50E-08	M. intestini	COG1848	"GC_00001677, GC_00002946"	0.2131	0.9615	61	26
"Acetyltransferase, isoleucine patch superfamily (WbbJ)"	41.4753519	1.19E-10	1.50E-08	M. intestini	COG0110	"GC_00001848, GC_00002758, GC_00004007"	0.0656	0.7308	61	26
"Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase (BcsA) (PDB:4HG6)"	41.1720185	1.39E-10	1.61E-08	M. intestini	COG0463!!!COG1215	GC_00001838	0.0492	0.6923	61	26
Predicted SAM-depedendent methyltransferase	39.73016595	2.92E-10	2.88E-08	M. intestini	COG4627	"GC_00001663, GC_00001664"	0.2623	1	61	26
"Uncharacterized membrane protein PF0508, contains N-terminal glycosyltransferase domain of PMT family"	39.73016595	2.92E-10	2.88E-08	M. intestini	COG5305	"GC_00001718, GC_00002033"	0.2623	1	61	26
Copper-binding protein CopC (methionine-rich) (CopC) (PDB:1IX2)	37.7069145	8.22E-10	7.59E-08	M. intestini	COG2372	"GC_00001956, GC_00002339, GC_00002826"	0.0328	0.6154	61	26
Predicted ATPase	36.23737848	1.75E-09	1.51E-07	M. intestini	COG4938	"GC_00001555, GC_00001792, GC_00002079, GC_00002859"	0.2951	1	61	26
Membrane-associated phospholipid phosphatase (PgpB) (PDB:1D2T)	35.85810856	2.12E-09	1.73E-07	M. intestini	COG0671	GC_00001996	0	0.5	61	26
"Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase (RfaJ) (PDB:1G9R)"	27.86981702	1.30E-07	9.98E-06	M. intestini	COG1442	GC_00001641	0.3443	0.9615	61	26
"Cold shock protein, CspA family (CspC) (PDB:1C9O)"	26.36447329	2.83E-07	2.06E-05	M. smithii	COG1278	GC_00001585	0.8361	0.2692	61	26
"Predicted ATPase, archaeal AAA+ ATPase superfamily"	26.17823575	3.11E-07	2.15E-05	M. intestini	COG1672	"GC_00001654, GC_00001719, GC_00001755, GC_00002452"	0.4098	1	61	26
"Uncharacterized conserved protein, PKD repeat domain (PDB:2KZW)"	15.12182426	1.01E-04	0.006642628	M. intestini	COG3291	GC_00002252	0	0.2308	61	26
Pyridoxamine 5'-phosphate oxidase (PNPOx-like) family protein (PDB:2IG6)	14.57188335	1.35E-04	0.008487231	M. intestini	COG5015	GC_00001652	0.3607	0.8077	61	26
"Predicted antitoxin, contains HTH domain"	11.29134309	7.79E-04	0.046857022	M. intestini	COG2886	GC_00001991	0.0656	0.3462	61	26
"Adenylate cyclase, class 3 (AcyC) (PDB:1AB8)"	10.98450585	9.19E-04	0.052982275	M. intestini	COG2114	"GC_00002271, GC_00002301, GC_00002377, GC_00002780, GC_00003201"	0.0328	0.2692	61	26
