"genome"	"continent"	"species"	"corrected_genome_size"	"Completeness"	"Contamination"	"location"	"western_non_western"	"geo_category"	"Continent"
"G0032_i2"	"Africa"	"M. intestini"	2030983.454	99.81	0.16	"Gabon"	"non_western"	"africa"	"Africa"
"G0046_i2"	"Africa"	"M. intestini"	1960048.906	99.85	0.2	"Gabon"	"non_western"	"africa"	"Africa"
"G0065_i2"	"Africa"	"M. intestini"	2364100.537	100	1.05	"Gabon"	"non_western"	"africa"	"Africa"
"G0075_i4"	"Africa"	"M. intestini"	1973892.825	99.92	0.13	"Gabon"	"non_western"	"africa"	"Africa"
"G0078_i1"	"Africa"	"M. intestini"	1977064.191	99.94	0.33	"Gabon"	"non_western"	"africa"	"Africa"
"G0174_i2"	"Africa"	"M. intestini"	2057263.138	99.97	0.28	"Gabon"	"non_western"	"africa"	"Africa"
"G0218_i4b"	"Africa"	"M. intestini"	1973368.514	99.9	0.28	"Gabon"	"non_western"	"africa"	"Africa"
"G0315_i1"	"Africa"	"M. intestini"	2123054.021	99.96	0.44	"Gabon"	"non_western"	"africa"	"Africa"
"G0317_i1"	"Africa"	"M. intestini"	2015292.093	99.94	0.38	"Gabon"	"non_western"	"africa"	"Africa"
"G0321_i2"	"Africa"	"M. intestini"	2007234.137	99.95	0.56	"Gabon"	"non_western"	"africa"	"Africa"
"G0333_i1"	"Africa"	"M. intestini"	2073205.835	99.92	0.77	"Gabon"	"non_western"	"africa"	"Africa"
"G0349_i1"	"Africa"	"M. intestini"	1970939.64	99.92	0.3	"Gabon"	"non_western"	"africa"	"Africa"
"G0354_i4"	"Africa"	"M. intestini"	2045567.62	99.93	0.24	"Gabon"	"non_western"	"africa"	"Africa"
"G0361_i1"	"Africa"	"M. intestini"	2045092.122	99.95	0.21	"Gabon"	"non_western"	"africa"	"Africa"
"G0363_i4"	"Africa"	"M. intestini"	2073098.938	99.92	0.65	"Gabon"	"non_western"	"africa"	"Africa"
"G0370_i3"	"Africa"	"M. intestini"	2069154.904	99.92	0.15	"Gabon"	"non_western"	"africa"	"Africa"
"G0380_i2"	"Africa"	"M. intestini"	1980776.167	99.85	0.24	"Gabon"	"non_western"	"africa"	"Africa"
"G0385_i1"	"Africa"	"M. intestini"	1984569.532	99.9	0.16	"Gabon"	"non_western"	"africa"	"Africa"
"G0391_i2"	"Africa"	"M. intestini"	2043185.456	99.94	0.8	"Gabon"	"non_western"	"africa"	"Africa"
"G0393_i1"	"Africa"	"M. intestini"	2068476.545	99.77	0.67	"Gabon"	"non_western"	"africa"	"Africa"
"G0411_i1"	"Africa"	"M. intestini"	2056978.134	99.9	0.65	"Gabon"	"non_western"	"africa"	"Africa"
